u_applications_impacted,dv_u_business_segments,dv_u_alert_generated_from_monitoring,u_root_cause_owner,dv_priority,dv_category,dv_contact_type,dv_short_description,dv_company,dv_close_code,dv_u_incident_cause_code,u_root_cause_breakdown,u_summary_impact_root_summary,u_alert_to_who,clean_date,year,application_category
OPF,BSG,Splunk,FIS,Priority 4,Application,Service portal,Amerant - OPF - 3000250 APPLICATION INTERFACE,FIS,Solved (Permanently),Application issue,unknown," CIM team engaged multiple teams, including OPF US Wires L2, OPF Service Delivery Hosted, and OPF Hosted Platform Delivery Teams. OPF US Wires L2 confirmed that the batch feed was unsuccessful, and the GL job for February 21st failed. The team attempted to rerun the batch backdated to 02/21 on lrk2rfipamwap01. The OPF Hosted Platform Delivery team, along with the DB team, deleted three tables: AMERANTCBISADMIN.cbis_lastcancellationresponse, AMERANTCBISADMIN.cbis_entrycancellation, and AMERANTCBISADMIN.cbis_lastcaeresponse2. Subsequently, the GL files for February 21st were generated and processed. The FIS technical team confirmed that the file containing 2,117 GL records was successfully processed to Amerant at 18:13 ET, resolving the issue.",Unknown,2025-02-25 00:15:32,2025,Other
OPF,BSG,Splunk,FIS,Priority 5,Application,Service portal,EWB - OPF - PRD - BIC File Late delivery and Consol GL file for 2/18 is empty,FIS,Solved (Permanently),Access issue,unknown,"Tickets: CS05816956/ IN25016496575 

Client: East West Bank
Product: OPF US Wire Transfer

CP2

Start: 2025-02-18 11:13 ET
CIM Engaged: 2025-02-19 13:52
Impact Mitigated: 2025-02-24 23 :19

Resolution Notes :  Reopened case : FIS technical team generate the BIC extract and console GL generated at OPF for East West Bank



Triage Teams.

CIM - Mohan S ,  Aamir 
ETG - Kerbrat, Steven
SDM - Matthews, Beverly
OPF_USWires-AppProdSupport - Vidit, Shivani & Kumar, Ashish
IBS Core Service Delivery - Corporate AppsRichards, Bill & Iwen, Jennifer
Stoffel, Richard - Core Deposits L2 Support (IBS)
ETG - Mangahas, Eller P
Platform - Kerbrat, Steven

Resolver Group : OPF_USWires-AppProdSupport
",Unknown,2025-02-25 04:39:08,2025,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,GETPAID/Application Stability Research Call,FIS,Solved (workaround),Connectivity issue,hardware,"Non issue, Being worked on By GETPAID development team ",Unknown,2024-09-27 12:43:45,2024,Unknown
"Cardbase, DB1, CeB, IBS. All Cardbase users were impacted. ",BSG,Other,FIS,Priority 2,Application,Self-service,IMSE Alert - Connection failed for Connectware / IBS-OpenAPI in BDOC,FIS,Solved (Permanently),Configuration issue,change deployment,"Banks on the IMSE LPAR may have experienced intermittent connection issues for Cardbase, DigitalOne Banking, Consumer eBanking, and Integrated Bank Services (IBS) applications. Root cause is attributed to project volume created by the eight digit BIN expansion for a single client.","CeB, D1B, IBS, Card Base",2024-10-01 21:12:11,2024,Digital
Global Office,BSG,No Known Alert,FIS,Priority 6,Server,Self-service,Global Office / DBCT Unable to login ,FIS,Solved (workaround),Undetermined,unknown,Deutche Bank Corporate Trust reported they were unable to access Global Office.  This prevented their ability to process payments to the FED.  Support rebooted windows servers and wires were processed prior to the Fed cut-off.   No financial or SLA impact.,Unknown,2024-10-11 20:52:33,2024,Other
PaymentsOne,BSG,No Known Alert,FIS,Priority 2,Application,Walk up,"PaymentsOne / Client, USAA, is unable to send traffic to PaymentsOne API",FIS,Solved (Permanently),Connectivity issue,configuration,"A disruption of PaymentsOne API traffic for single client, USAA, was reported. This is a repeat of a previous issue. Client has reported an improved dashboard after a change to force  UTF-8 into the header that USAA is sending to FIS, and can now see more logs in the event it reoccurs. PaymentsOne API traffic has remained stable since  11-Oct-2024 14:49 CT.  Client technical bridge has been parked; FIS support will be re-engaged  should the issue resurface.",Unknown,2024-10-17 12:25:56,2024,Payments
"eWire, DigitalOne Business, and Online Banking",BSG,Other,external,Priority 3,Application,Service portal,Verafin eWires were delayed in processing for DigitalOne Business and Online Banking clients,FIS,Solved (Permanently),Undetermined,external,"DigitalOne Business and Online Banking eWires were delayed due to an external issue at third-party vendor, Verafin. Approximately 1800 eWires were delayed in being processed and were held in queue. The issue resolved without technical intervention by FIS and a request for RFO is being sent to Verafin.",FIS CTO Service Delivery was able to identify elevated response times.,2024-10-15 18:11:13,2024,Digital
Unspecified Applications,BSG,Other,FIS,Priority 4,Application,Other,CeB and BeB / IMSE connection issue,FIS,Solved (Permanently),Connectivity issue,configuration,Some applications were having connection issues with IMSE.  The root cause is under investigation.,Application team,2023-09-13 04:37:05,2023,Unknown
IBS Deposit Originations,BSG,No Known Alert,external,Priority 4,Application,Email,IBS Deposit Originations functionalities unavailable,FIS,Solved (Permanently),Change induced,change deployment,IBS Deposit Originations functionalities were unavailable to clients due to an issue following scheduled patching.,Unknown,2023-09-13 14:21:14,2023,Core Banking
Profile,BSG,No Known Alert,fis vendor,Priority 4,Application,Self-service,Profile AMEX / Unable to Reach URL for Statement Research by Staff,FIS,Solved (Permanently),Undetermined,external,"eDelivery Services-eDel, Profile-Profile Amex CSRs are unable to perform statement research.  Root cause investigation is ongoing.",Unknown,2023-09-14 18:03:57,2023,Other
Fraud Alert Management,BSG,No Known Alert,Vendor,Priority 4,Monitoring,Self-service,TFN numbers are not working,FIS,Solved by Client/Vendor,Connectivity issue,performance,There was an issue causing at least 60 agents to be unable to make or receive calls from SecurLOCK Communicate Toll Free Numbers (TFN). Root cause is under investigation. ,Unknown,2023-09-16 07:27:50,2023,Security
Falcon Scoring,BSG,Other,tbd,Priority 4,Application,Self-service,Falcon/ Timeouts Occurring on Multiple Switches,FIS,Solved (workaround),Undetermined,unknown,Timeouts occuring that are resolved with server/node restarts for Falcon (and previously with Cortex being disabled) ,Falcon Support Team,2023-10-06 22:07:01,2023,Other
CeB ,BSG,No Known Alert,FIS,Priority 3,Application,Self-service,CeB- Transactions unavailable from 10/10, Visa Inc. ,Solved (Permanently),Undetermined,code,"Bank Transactions between Consumer e-Banking Services and Horizon experienced missing transactions from Oct 10, due to an ETG upgrade.
",Unknown,2023-10-13 05:16:23,2023,Digital
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Service portal,Deere Credit Services -Profile batch job failed in Production,FIS,Solved (workaround),Application issue,configuration,"Tickets: CS05684976 / IN25016109333 

Start: 2025-01-02 23:00 ET
CIM engaged: 2025-01-02 23:18 ET 
Impact Mitigated: 2025-01-06 08:39 ET 

CP2

Client: (JDF) Deere Credit Services, Inc.
  
Short Description: JDF-Profile batch job failed in Production

Business Impact: This is impacting client's downstream processing, putting everything on hold for JDF 

Resolution Notes:
FIS teams, in collaboration with the client, have successfully addressed the critical components of the end-of-day flow and rectified the failing jobs following the resolution of a memory exhaustion error. The end-of-day process is currently ongoing and is anticipated to require an additional four to five hours for completion. Received Client confirmation on Friday end of day process was successful for them.

Resolver Group:
Platform Profile Service Delivery: Kenneth Albin
IT Architect: Saurabh Jadia

Teams Engaged: 
Platform Profile service delivery: Kenneth Albin; Varsha Malhotra 
CSM: Dennis Paschke 
IT Architect: Saurabh Jadia; Frans Witte; Dan Russell
Director Dev team: Laura Hillanbrand 
Senior Manager - Development: Roger Partridge
Production Support: Thamilarasi Subramanian 
CIM NA: Soniya Johny; Abraham Nathanael

Problem Ticket Tasks:
Problem Ticket# PR25000161883 created for an RCA and alerting opportunities.",Unknown,2025-01-07 14:41:27,2025,Unknown
Falcon,BSG,Splunk,FIS,Priority 3,Application,Self-service,Falcon - Real time fraud scoring transactions were timing out,FIS,Solved (workaround),Undetermined,unknown,"Client transactions were processed without real-time fraud scoring. Falcon traffic was redirected from BDOC to PHX, to mitigate impact. A problem ticket has been opened to track root cause analysis.",Unknown,2025-01-10 03:07:11,2025,Other
Base2000,BSG,No Known Alert,FIS,Priority 4,Application,agent_workspace,"Unable to Sign in, keeps on loading.",FIS,Solved (workaround),Change induced,change deployment,"FIS support teams confirmed this is related to ongoing FIS maintenance (Mainframe IPL) - CH25001765426 and the change is completed now.
FIS Support teams confirmed that Mainframe IPL maintenance was ongoing due to which users were unable to login . After the maintenance was completed Client confirmed they were able to login fine. ",Unknown,2025-01-12 10:46:02,2025,Core Banking
AddVantage,BSG,Spectrum,external,Priority 3,Network,Self-service,"AddVantage \  TSS client,  Family Heritage is unable to access the application",FIS,Solved (Permanently),Connectivity issue,external,"Family Heritage, a subset client of TSS was unable to access the AddVantage application. The root cause has been attributed to a router connection failure at the client's end. The client rebooted the router to resolve the issue. A problem task will be raised for further analysis.",IN25016187395- Ticket to NOC,2025-01-14 18:43:54,2025,Other
Payments One Debit ,BSG,No Known Alert,FIS,Priority 4,General Technical,Self-service,Payments One Debit / Broadview Issue with Token deletes,FIS,Solved (Permanently),Undetermined,unknown,"All token set ups were deleted for single client, Broadview Federal Credit Union due to unknown cause.",Unknown,2023-10-21 03:11:16,2023,Cards
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Network,3rd party integration,PAI / ATM Connection Issue,FIS,Solved (Permanently),Connectivity issue,load,"PAI, a FIS reseller, had Dial-up ATMs that could not connect to FIS. To resolve the issue, an ECR was opened to fail over from Node 3 to Node 4. ",Unknown,2023-10-20 16:47:53,2023,Unknown
Unspecified Applications,BSG,Other,FIS,Priority 5,Migration,Email,Digital One/Ameris Single client Cert is expired. ,FIS,Solved (Permanently),Connectivity issue,certificate,The certificate was expired. ,App Team,2023-10-25 06:19:20,2023,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Self-service,Digital One / Jenius Bank has products beyond savings configured,FIS,Solved (Permanently),Application issue,configuration,"Single client, Jenius Bank has products beyond savings configured within Digital One application due to products that are marked as active instead of inactive. ",Unknown,2023-11-02 00:24:06,2023,Unknown
"UserAdmin, EBT WebAdmin, Decision Solutions",BSG,Other,FIS,Priority 3,Application,Self-service,UserAdmin / Issues Caused Impact to Other Apps,FIS,Solved (Permanently),Undetermined,unknown,EBTEdge Web Application User Adim was unavailable to several clients.,"Alerts sent to EBT, but further research is being undertaken to improve.",2023-11-07 00:31:58,2023,Security
"MoveIT
FRC - Financial Risk Management
EBT- CA (California), IBS Wealth Aggregation
ACH Tracker Processing
IFMS ADS
Cash Manager files for TrustDesk product
","BSG, CM",No Known Alert,FIS,Priority 3,Application,Alert,MoveIT/ BDOC files undeliverable or delayed,FIS,Solved (Permanently),Application issue,unknown, An incident is affecting the delivery of files via BDOC through the MoveIT application. Root cause is under investigation.,Unknown,2023-11-14 19:19:39,2023,Payments
SiteCore Web servers,BSG,Other,FIS,Priority 3,Application,Self-service, SiteCore Web servers hitting capacity causing 503 errors when accessing webpages, Visa Inc. ,Solved (Permanently),Access issue,unknown,SiteCore Web servers hit capacity causing 503 errors accessing webpages. Root cause is under investigation.,Thousand Eyes ,2023-11-14 20:29:49,2023,Other
"TrustDesk Web - Client Point, RM Point, RDMS Web and TrustDesk Mobile. 
Digital One - SMBC 
Jenius Bank - Online Account Open, Online Banking, Banker","BSG, CM",Other,FIS,Priority 2,Application,Self-service,Website services outage - 200 website alerts ,FIS,Solved (Permanently),Access issue,external,Issue caused approximately 200 websites to be down for affected clients. ,Tryambak alerts reported to app support.,2023-11-14 16:52:14,2023,Digital
FIS Xpress Deposit (FXD) ,BSG,No Known Alert,FIS,Priority 3,Application,Service portal,FIS Xpress Deposit - Users facing issues while making deposits,FIS,Solved (Permanently),Coding/script,change script,"Following change activity on 10/15/2024 for a single client, FIS Xpress Deposit (FXD) deposit limit fields were inadvertently changed for all clients.  Daily and multi-day limits for deposit values were inaccurate and varied for all FXD users. Banks could potentially see deposit impact if utilizing custom limits. Root cause is due to change activities.",Unknown,2024-10-17 16:01:12,2024,Other
Payments One Credit ,BSG,No Known Alert,FIS,Priority 4,Application,Service portal,Payments One Credit /  Funds movement was not settled correctly  for Oct 11 - Oct 14,FIS,Solved (Permanently),Configuration issue,configuration,"There was an issue impacting Payments One Credit where fund movement was not settled correctly for the dates Oct 11 – Oct 14, 2024.  Issue was communicated appropriately to those affected clients  Cardholder accounts were not affected by this issue. All funds were posted to the cardholders' accounts as expected. Issue resolved by changing some configurations at the CORP level. 
",Unknown,2024-10-17 16:49:22,2024,Other
GetPaid,BSG,Other,FIS,Priority 3,General Technical,Self-service,GetPaid / GPOD NA1 reporting system was unavailable.,FIS,Solved (Permanently),Capacity issue,disk space,"Due to a database space contention, clients may have been unable to access GetPaid. Teams increased the database size, from 900 to 1900 GB to mitigate impact. Root cause is under investigation. ",GetPaid application team,2024-10-25 21:10:06,2024,Other
"FIS Kordoba, eBanking (GMC, Doxis), OTRS, Assyst (ticketing).",BSG,No Known Alert,FIS,Priority 4,Application,Self-service,FIS Kordoba / Less performance on some client facing applications and internal systems ,FIS,Solved (Permanently),Application issue,performance,"FIS Kordoba and some other internal applications are inaccessible to four eBanking clients and internal FIS teams due to a connectivity issue with the NTT datacenter servers. FIS support teams are continuing their investigation to determine the root cause,",Unknown,2024-10-28 13:55:36,2024,Other
PaymentsOne UI,BSG,Other,FIS,Priority 3,Application,Service portal,PaymentsOne UI - Clients reported intermittent latency,FIS,Solved (workaround),Change induced,change deployment,Clients reported intermittent latency when logging into PaymentsOne UI after the deployment of PaymentsOne Release 1.132 (CH24001728862).  Support increased CPU resource limit in BDOC and failed over PaymentsOne from Phoenix to BDOC to mitigate issue.     ,Dynatrace - Investigation needed for monitoring improvements ,2024-11-12 20:59:12,2024,Payments
"TRAX, Quantum, and GetPaid. ","CM, BSG",Netcool,FIS,Priority 2,General Technical,Self-service,"UK clients reporting issues accessing applications including Trax, Quantum, and GetPaid",Baker Hughes (UK) Ltd,Solved (workaround),Connectivity issue,vendor bug,"UK clients were unable to access the TRAX, Quantum and GETPAID applications due to a known software defect within the Cisco software, which creates an issue with device communications. Clients were unable to reach the affected applications. Network support identified that a ""Split Brain"" condition was met, which is a software defect that causes device issues communicating with each other. Support recycled the 201 and 200 switches in the Docklands Data Center to mitigate impact. Client validation was completed successfully. A problem record has been raised to investigate the root cause and avoid reoccurrence.",Enterprise NOC,2024-11-20 00:21:51,2024,Other
eWire,BSG,No Known Alert,FIS,Priority 4,Application,Service portal, eWire  - IBS clients unable to process wires ,Lake City Bank,Solved (Permanently),Coding/script,operational cadence,eWire transactions were failing for IBS clients due to expired passwords on the database. Support teams redirected the script to run in PHX. Once the script was rerun in PHX the accounts were updated with the correct passwords. Root cause is under investigation. ,Unknown,2024-12-06 16:05:30,2024,Other
OPF FedNow,BSG,Other,FIS,Priority 4,Application,Self-service,OPF FedNow /   Issue with NFS Mount Point affecting  M&T and Wintrust clients,FIS,Solved (Permanently),Application issue,unknown,"M&T and Wintrust were having issues accessing OPF Fed, this impacts their ability to process payments.  Team  discovered that the issue was with NFS shared mount points not responding that caused storage connection issue. Team failed over M&T client from LRK to PHX to mitigate the impact while team restored storage for Wintrust.  The broken connection was from application centric OPF to network centric Isilon(NAS platform) . That connection is supposed to be defined in the source of truth for it to work. It is not apparently in the source of truth.  Problem task was raised to further investigate the root cause of the issue.",Middleware Team,2024-12-11 17:14:13,2024,Payments
"Capital Markets: Integrity SaaS, Quantum, CLBT, TRAX, EBAM
BSG: GETPAID-SaaS","CM, BSG",Spectrum,FIS,Priority 2,Server,Self-service,Applications unavailable on UK Prod and Test for TC2 DC,FIS,Solved (workaround),Hardware failure,change deployment,Five Capital Market and one Banking solution application was unavailable on UK Prod and Test for TC2 DC due to a planned vendor maintenance at TC2 Global switch. Users were unable to access the impacted applications to perform payment processing tasks. Area 1 which was observed as offline hosting support racks for impacted applications was powered up and Three faulty Power Distribution Units [PDUs] were swapped to resolve the issue. A problem ticket will be raised for further investigation.,NOC Team,2024-12-16 10:29:21,2024,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Service portal,Discover Bank - OPF -Transaction stuck in Pending Additional Response Status,FIS,Solved (Permanently),Process issue,performance,"CIM engaged OPF_USWires-AppProdSupport and OPF hosted platform.OPF_USWires-AppProdSupport team updated the payment status as ""Ready For Submission"" from back end and this transaction will now be picked by next submission job scheduled tomorrow (i.e. 12/17) at 8 AM CST.
AT 9:00 OPF_USWires-AppProdSupport team confirmed that Payment OPF260003458 is processed further and sent out to BNYM.",Unknown,2024-12-17 20:12:21,2024,Unknown
Connex Advantage,BSG,Splunk,FIS,Priority 4,Application,agent_workspace,Cap1 - Cap1 reported that they are seeing 10479+ transaction on hold and IMS H database is full,FIS,Solved (Permanently),Capacity issue,disk space,"Summary
CS05649217 / IN24015993790
IN24015993170 - ProcLink Monitoring Operations
CP2
CIM Engaged: 2024-12-17 01:53 EST
***************************************
Corrected Start and End Time during MIR call:
START:??12/17/2024 00:44 EST.
END:??12/17/2024 02:19 EST.
***************************************
 
Client: Capital One, National Association
Product: FIS Card Personalization
 
Issue Description: 10479+ transaction on hold and IMS H database is full
Business Impact: Risk of transaction timeout due to DB being full
  
Action Taken: Cap1 reported that they saw 10479+ transactions on hold. Team identified that IMS H database was full. So EFT ISS & Mainframe BDOC teams were engaged to run a purge job in order to free up space on that database. Mark from OA Mainframe Team executed purge job CBH31A at 01:01 ET 12/17 and we started seeing improvement within the stand in space and stand-in queue started dropping.
Support teams have added new monitoring which gives visibility to command center of current free capacity every 30 minutes. Monitoring triggers alert if we hit 10% free capacity to Command Center and Dedicated Team so there is time for necessary action to address the issue.
  
Problem Ticket Tasks: PR24000161505 was raised and MIR happened on 12/18 - 11:30 am ET. RCA has been discussed.
Below points were discussed in MIR call:
Evaluating and revising the purge job schedule which runs on Saturday and Sunday to ensure ample capacity is captured while the job schedule for Monday through Friday remains the same
For the long term fix, support teams will be increasing database capacity with a project - HALDB - ETA Q1 2025.",Unknown,2024-12-18 18:32:44,2024,Other
PrePaid South,BSG,Other,FIS,Priority 3,Database,agent_workspace,Prepaid South / Database replication impacting reporting and transactions,FIS,Solved (Permanently),Undetermined,unknown,"Some clients experienced reporting delays, declined transactions and insufficient funds due to a database issue which impacted replication between DCs, causing  a client delay in their daily reports and transaction failures such as insufficient funds. Replication synchronization between the two datacenters was completed to mitigate impact. The preliminary root cause is attributed to a database that experienced issues and was taken offline during routing prep work to move the platform to a different database. A problem ticket has been raised to document the detailed cause of the issue.",SQL Server Job System sent alert to DBA SQL Server Support Mail <Prepaid-DBA@fisglobal.com.,2024-12-21 23:05:42,2024,Cards
"FIS Integrated Payables,  FIS Integrated Payables for Bank Reseller.",BSG,Other,FIS,Priority 3,General Technical,Self-service,Integrated Payable - Job Process hung due to print server,FIS,Solved (Permanently),Transmission failure,performance,Users unable to access the Integrated Payables and FIS Integrated Payables for Bank Reseller applications due to an unresponsive print server.,"Integrated Payables get the alerts, but windows does not it appears",2023-11-14 19:17:36,2023,Other
Unspecified Applications,BSG,Other,FIS,Priority 4,Application,Self-service,DataPlacement Manager (Securefile instance)- Unable to send files outside FIS. All SSH Client PUT are failing,FIS,Solved (Permanently),Data issue,operational cadence,DataPlacement Manager (Securefile instance) unable to send files outside FIS due to a corrupted temp file.,SFT SecureFile for job failures for ssh PUTs,2023-11-16 01:20:04,2023,Unknown
"Commercial Capture Xpress (CCX), Direct Link Merchant (DLM), and potentially HorizonXE. ",BSG,No Known Alert,Client,Priority 4,Application,Self-service,Clients Unable to Access Applications Following Chrome Update,FIS,Solved (Permanently),Process issue,configuration,"Following a known Chrome update, clients who did not take the proper actions began to receive an ""Error Initializing"" message when attempting to access affected applications to scan from their devices. Instructions were previously communicated earlier in the year which required both, clients and their customers, to perform the update before updating Chrome. The Chrome update was pushed by Google and made available on 11/16/2023. The applications are not down, users that have not made the updates are experiencing issues with their scanners. ",Unknown,2023-11-17 19:50:58,2023,Core Banking
Payments One Credit (P1C),BSG,No Known Alert,FIS,Priority 3,Application,Self-service,Payments One Credit clients are experiencing monetary transaction error.,FIS,Solved (Permanently),Change induced,change deployment,"Payments One Credit clients were unable to process monetary transaction due to P1C release implemented to improve the display of online monetary to sub-corp users.
",Unknown,2023-11-20 20:37:47,2023,Other
Digital One Business,BSG,No Known Alert,FIS,Priority 3,Application,Self-service,Digital One Business (D1B) / RSA soft tokens shortage,FIS,Solved (Permanently),Access issue,human error,Clients were unable to access Digital One Business or be onboarded to FIS due to a lack of available RSA soft tokens.,Unknown,2023-11-27 19:25:17,2023,Digital
EFT Services - Brown Deer ,BSG,No Known Alert,FIS,Priority 3,Application,Self-service,EFT Services - Brown Deer/ Money Order transactions were being declined.,FIS,Solved (Permanently),Change induced,change deployment,EFT Services - Brown Deer money orders failed due to Connex/HP Nonstop - BCFS Online maintenance change that was implemented on 29-Nov-2023.,Unknown,2023-12-07 02:35:25,2023,Cards
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Service portal,FX Wires Receiving Unable to Determine Rate Response,FIS,Solved (Permanently),Undetermined,unknown,"CIM engaged Bhardwaj Bhudev from OPF Business Operations, who then involved the OPF_USWires-AppProdSupport team. Vidit and Shivani checked the issue and advised the client to retry the transactions. Wells Fargo confirmed that they would retry the transactions the following day. If the retry failed, they would cancel these payments and enter them through Payment Origination (PO). Duran and Erdem from OPF_USWires-AppProdSupport updated the payments to ""Rejected,"" and the client confirmed that the wires were successfully processed.",Unknown,2025-01-07 18:32:15,2025,Unknown
WRA / Client Point and RM Point ,BSG,Other,FIS,Priority 3,Server,Event monitor,WRA / Client Point and RM Point are inaccessible for affected users due to expired proxy IDs.,FIS,Solved (Permanently),Change induced,operational cadence,"WRA / Client Point and RM Point are inaccessible for affected users due to expired proxy IDs. Users were unable to access the applications. 
Support teams brought down the JVMs in both Phoenix and Brown Deer to run a script to update the passphrases on the Mainframe RACF. The script with the passphrases was loaded into the database, the JVMs were brought back up and service was restored. Root cause is under investigation.",WRA support team did receive a Tryambak alert.  ,2025-01-21 16:58:59,2025,Other
MPS  - Fuel card transactions.,BSG,No Known Alert,FIS,Priority 4,Server,Event monitor,P4/CP1 - EMEA-MPS - Legacy and Non-Legacy Fuel cards are gone down.,FIS,Solved (workaround),Application issue,configuration,"FIS is experiencing an outage connecting to Fleetcor acquirer service which will result in WP failing to process fuel card transaction (legacy and non-legacy)

Worldpay / FIS support team(s) have made configuration changes within application and NAT IP changes within network infrastructure in both ULE and ULW Datacenters to restore the resiliency, resulting in both datacenters operating over 'Primary' links. The system remains stable and transactions are being processed successfully via the primary links.",Unknown,2025-01-30 15:35:36,2025,Other
Payments One Debit  ,BSG,No Known Alert,FIS,Priority 3,Application,Service portal,Payments One Debit /HORIZON Core debit cards were inadvertently changed from Active to Pending Activation after nightly batch file.,FIS,Solved (Permanently),Configuration issue,code,Horizon Banking Payments One Debit cards changing from Active to Pending activation due to a change in HORIZON on the Payments One platform. Affected cardholders may be unable to use their cards for transaction authorizations. Affected clients may experience an increase in cardholder inquiries regarding this issue. HORIZON Development has created the fix package (Hotfix #5) and delivered it to the HORIZON Data Center.  It has been published to the FIS Client Portal for In-House clients. HORIZON Data Center will install prior to BOSS processing 29-JAN.,Unknown,2025-01-30 21:31:08,2025,Cards
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Service portal,Ameris Bank- D1BST - Bank Default Security Settings not saving,FIS,Solved (Permanently),Configuration issue,configuration,Ameris Bank- D1BST - Bank Default Security Settings not saving,Unknown,2025-01-31 23:36:55,2025,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Service portal,"we did not receive this below file please check once and if it did not process from your end please process it ZMACN.EXT, ZDTJFM.EXT",FIS,Solved (workaround),Process issue,month end,FIS support confirmed that no SLA was missed on the files. The File was received as on 02/01 at 04:17 AM EST. ,Unknown,2025-02-01 17:23:52,2025,Unknown
Profile ,BSG,No Known Alert,Client,Priority 4,Application,Service portal,profl-bnk-outsort-eod-0201.dat for this file our 1 task got failed due to header date mismatch.,FIS,Solved by Client/Vendor,Transmission failure,external,"SCW reported 1 task failed due to header mismatch for file profl-bnk-outsort-eod-0201.dat.

FIS support identified the file in the spool directory and informed client if the header is changed it might cause impact to data issues at their system.  Bank is checking internally if the file header can be changed and processed again.  Bank confirmed they processed the existing file which they have received earlier from FIS and hence no action was required from FIS. No recovery action was taken from FIS end. The ticket has been downgraded to P3. ",Unknown,2025-02-01 12:21:19,2025,Other
Payments One,BSG,No Known Alert,Client,Priority 5,Application,Service portal,Debit transaction declines,FIS,Solved (Permanently),Configuration issue,change deployment," Discover Network made a Spring release change without informing FIS, altering the transaction sending method causing over 7000 transaction denials. FIS teams, including CIM, SDM Maria DimasGarcia, Connex ASG, and others, joined bridge calls to investigate. FIS proposed a database change to set ""ALLOW SUBMISSIONS"" to 'Y'. Testing in UAT confirmed no declines, and Discover Bank approved the change for installation at 02:00 CT on 02/06 with RITM25007204770. By 06:18 on 02/06, client confirmed on resolution the issue was resolved, and submissions were approved without declines.",Unknown,2025-02-06 20:37:05,2025,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Database,Email,GETPAID/ NA2 Prod Slowness issue,FIS,Solved (Permanently),Data issue,performance,The GETPAID NA 2 environment experienced performance issues.  ,Unknown,2024-01-12 15:02:14,2024,Unknown
Miser,BSG,Other,FIS,Priority 5,Monitoring,Self-service,MISER - Authorization link was not connecting to host,FIS,Solved (Permanently),Coding/script,change script,Miser authorization link - Clients ATMs were in stand-in due to the authorization link not connecting to the Miser host,Miser USS team,2024-01-16 19:42:16,2024,Other
D1B,BSG,No Known Alert,Client,Priority 5,Application,Service portal,Amalgamated Bank - Digital One - SFTP file not received in AOTM - CCPU Retirement.,FIS,No Action Taken,Human error,human error,"Summary: -
Tickets: CS05791055 / IN25016397099
Start: 2025-02-07 08:58:39 EST
End: 2025-02-07 10:15 EST
CIM Engaged: 2025-02-07 09:25 ET
Impact Mitigated: 2025-02-07 10:15 EST

Issue Description: Amalgamated Bank - Digital One - SFTP file not received in AOTM - CCPU Retirement.
Business Impact: SFTP files did not make it to the AOTM system, which caused the checks to fall into the exception queue and fail to process those files successfully. The affected amount is $8 million dollars and is extremely urgent as the customer is being impacted negatively.

Client Action: NA.
FIS Action:  CIM initiated the bridge and engaged BeB L2 Client Support & BeB Service Delivery to triage the issue. Further, as discussed on the call with Thomas, Myron; and Becker, Pamela J; the two files were sent to D1B with the File Definitions as AB_ARPP. However, as per the FIS support the only definition in the company is ARP_PP, AB File Specs -FixedFormat. So this is an user error and FIS cannot fix this issue. So, the client will have to resubmit the files with an ARP_PP in the header record of the file that was received in D1B FTP. Further, SDM Osorio, Erik; has updated the client with this information. CIM will mark this case as resolved. No PR required.

Resolver Group(s) that fixed the issue: BeB L2 Client Support- Becker, Pamela J; Didier, Dane;
BeB Service Delivery - Thomas, Myron; Srivastava, Vishal;

Stakeholders/Other Groups: -
CIM - Diwanshu Jaswal; Greenbaum, Jana;
SDM – Osorio, Erik;
BeB L2 Client Support- Becker, Pamela J; Didier, Dane;
BeB Service Delivery - Thomas, Myron; Srivastava, Vishal;

Problem Ticket Tasks: - No PR required. (Client owned issue)
",Unknown,2025-02-07 15:55:59,2025,Digital
